ts_code,trade_date,open,high,low,close,vol,amount
000001.SH,20190628,2901.742,3012.826,2822.185,2978.878,397467749700.0,3846260578723.7
000001.SH,20190531,2984.727,2986.54,2833.036,2898.696,446512659500.0,4317925215105.7
000001.SH,20190430,3111.662,3288.453,3050.026,3078.339,748713308400.0,7562326133210.1
000001.SH,20190329,2954.402,3129.94,2930.835,3090.758,869192544500.0,8300906449480.0
000001.SH,20190228,2597.778,2997.488,2590.554,2940.954,442180830800.0,3816144634586.0
000001.SH,20190131,2497.881,2630.318,2440.907,2584.572,338564070300.0,2804232423673.0
000001.SH,20181228,2647.132,2666.078,2462.845,2493.896,257511939600.0,2236020851029.2
000001.SH,20181130,2617.033,2703.512,2555.322,2588.188,405282329100.0,3352501661924.6
000001.SH,20181031,2768.208,2771.938,2449.197,2602.783,274024211800.0,2449081026761.2
000001.SH,20180928,2716.404,2827.341,2644.296,2821.35,214835895000.0,2152910424910.0
000001.SH,20180831,2882.506,2897.4,2653.112,2725.25,282138901300.0,2872972699430.0
000001.SH,20180731,2841.58,2915.297,2691.021,2876.401,304909513300.0,3259242876270.0
000001.SH,20180629,3084.754,3128.715,2782.381,2847.418,262397937200.0,3100449945780.0
000001.SH,20180531,3087.409,3219.74,3041.0,3095.474,297928909200.0,3810440501200.0
000001.SH,20180427,3169.779,3220.845,3041.625,3082.232,269898545100.0,3372116047972.9
000001.SH,20180330,3235.089,3333.875,3091.458,3168.897,370408412000.0,4396936871009.3
000001.SH,20180228,3478.67,3495.093,3062.743,3259.408,288895945200.0,3262254745964.6
000001.SH,20180131,3314.031,3587.032,3314.031,3480.833,479777123200.0,5772056284434.1
000001.SH,20171229,3315.105,3324.516,3254.178,3307.172,294122685300.0,3628130536862.0
000001.SH,20171130,3393.968,3450.495,3300.781,3317.188,398240047300.0,5136182591483.0
000001.SH,20171031,3403.246,3421.103,3357.276,3393.342,270673954000.0,3406039277370.0
000001.SH,20170929,3365.991,3391.644,3332.599,3348.943,423260969500.0,4940508458901.0
000001.SH,20170831,3274.369,3376.648,3200.748,3360.81,505986305100.0,5543980201022.0
000001.SH,20170731,3191.998,3276.946,3139.504,3273.028,418762365100.0,4506669384950.3
000001.SH,20170630,3108.421,3193.461,3078.787,3192.427,320465228700.0,3658665507395.0
000001.SH,20170531,3147.228,3154.781,3016.531,3117.178,322802119600.0,3606045039971.0
000001.SH,20170428,3235.66,3295.187,3097.333,3154.658,378945939200.0,4224360730790.7
000001.SH,20170331,3240.073,3283.239,3193.157,3222.514,411763442200.0,5088074589974.2
000001.SH,20170228,3160.082,3264.082,3132.033,3241.733,339804179800.0,3777257343763.1
000001.SH,20170126,3105.309,3174.578,3044.291,3159.166,275949066800.0,3052771803649.4
000001.SH,20161230,3257.027,3279.714,3068.415,3103.637,396593147000.0,4406217831795.8
000001.SH,20161130,3101.664,3301.213,3094.103,3250.034,520079940300.0,5853881370208.6
000001.SH,20161031,3020.457,3137.034,3014.62,3100.492,278313009700.0,3063402257071.4
000001.SH,20160930,3083.961,3105.678,2969.132,3004.703,279583218000.0,3140900610162.2
000001.SH,20160831,2971.949,3140.441,2931.963,3085.491,395621823000.0,4449908184990.4
000001.SH,20160729,2931.802,3069.047,2922.52,2979.339,401165924100.0,4703322480034.8
000001.SH,20160630,2917.154,2945.942,2807.598,2929.606,317593868400.0,3770003269563.6
000001.SH,20160531,2940.392,3004.418,2780.763,2916.616,285384826800.0,3155930788505.6
000001.SH,20160429,2997.088,3097.165,2905.049,2938.324,378696335600.0,4214743414719.9
000001.SH,20160331,2688.38,3028.322,2668.757,3003.915,508460013100.0,5342528301150.1
000001.SH,20160229,2730.984,2933.964,2638.963,2687.979,301329091700.0,3077309762748.8
000001.SH,20160129,3536.589,3538.689,2638.302,2737.6,400777169700.0,4338224413575.3
000001.SH,20151231,3442.441,3684.567,3399.28,3539.182,536818233000.0,7207430271379.0
000001.SH,20151130,3337.578,3678.273,3302.184,3445.405,706581438100.0,9220410214902.4
000001.SH,20151030,3156.075,3457.517,3133.127,3382.561,545257912100.0,6420219046044.2
000001.SH,20150930,3157.832,3256.743,2983.535,3052.781,536251260000.0,5626371818011.1
000001.SH,20150831,3614.99,4006.337,2850.714,3205.986,871925873000.0,10774444741504.4
000001.SH,20150731,4214.15,4317.053,3373.54,3663.726,1319359565100.0,16111942030854.7
000001.SH,20150630,4633.098,5178.191,3847.88,4277.222,1287064577700.0,19999625437526.9
000001.SH,20150529,4441.343,4986.503,4099.042,4611.744,1066488457100.0,16332876035535.0
000001.SH,20150430,3748.34,4572.391,3742.213,4441.655,1267737273300.0,17358039246990.2
000001.SH,20150331,3332.721,3835.567,3198.37,3747.899,944248496800.0,11265694603448.0
000001.SH,20150227,3148.136,3324.546,3049.111,3310.303,361559495000.0,4118308357730.0
000001.SH,20150130,3258.63,3406.786,3095.066,3210.363,703743382000.0,7834158644228.0
000001.SH,20141231,2691.73,3239.36,2665.69,3234.68,1138352275200.0,11481330056827.0
000001.SH,20141128,2425.23,2683.18,2401.75,2682.84,569133459600.0,4881325355604.0
000001.SH,20141031,2368.58,2423.6,2279.84,2420.18,369728692300.0,3128628466850.0
000001.SH,20140930,2220.129,2365.49,2217.685,2363.87,419103106900.0,3552143754824.0
000001.SH,20140829,2194.17,2248.939,2180.597,2217.2,334378011100.0,2789714096388.0
000001.SH,20140731,2051.225,2202.126,2033.004,2201.562,298095463900.0,2389624767146.0
000001.SH,20140630,2039.196,2087.322,2010.53,2048.327,159123147500.0,1311746400172.0
000001.SH,20140530,2022.178,2061.06,1991.055,2039.212,151246051500.0,1200023035161.0
000001.SH,20140430,2031.005,2146.67,1997.64,2026.358,206744785600.0,1676592253117.0
000001.SH,20140331,2052.075,2079.551,1974.382,2033.306,231297669100.0,1863529394089.0
000001.SH,20140228,2022.323,2177.978,2014.381,2056.302,205121833800.0,1792376135677.0
000001.SH,20140130,2112.126,2113.11,1984.824,2033.083,156358032700.0,1359830633284.0
000001.SH,20131231,2203.122,2260.871,2068.543,2115.978,207126396100.0,1797708356849.0
000001.SH,20131129,2139.88,2234.387,2078.988,2220.504,218787186000.0,1921697378387.0
000001.SH,20131031,2171.904,2242.984,2093.197,2141.614,237739575200.0,2097596619873.0
000001.SH,20130930,2104.09,2270.268,2078.455,2174.665,299950773000.0,2536614269517.0
000001.SH,20130830,2000.818,2198.848,1997.058,2098.382,248948605300.0,2068466154344.0
000001.SH,20130731,1965.987,2092.868,1946.366,1993.799,216496432200.0,1819695570679.0
000001.SH,20130628,2300.209,2313.425,1849.653,1979.206,155238404700.0,1330039133719.0
000001.SH,20130531,2170.783,2334.335,2161.14,2300.595,229489956600.0,2086778170414.0
000001.SH,20130426,2229.46,2253.421,2165.784,2177.912,149714367200.0,1285166744811.0
000001.SH,20130329,2364.544,2369.649,2228.813,2236.621,232595488600.0,2039830763335.0
000001.SH,20130228,2377.414,2444.804,2289.887,2365.593,182653469800.0,1627227238522.0
000001.SH,20130131,2289.51,2391.821,2234.947,2385.422,267192606600.0,2258990487869.0
000001.SH,20121231,1977.254,2269.512,1949.457,2269.128,224520648100.0,1716522226268.0
000001.SH,20121130,2070.02,2123.327,1959.334,1980.117,124520339000.0,916117925579.0
000001.SH,20121031,2084.849,2138.027,2053.092,2068.88,123125158600.0,920182186952.0
000001.SH,20120928,2044.825,2145.003,1999.484,2086.169,143278782600.0,1154914584077.0
000001.SH,20120831,2101.723,2176.795,2032.537,2047.522,136402186500.0,1145769779793.0
000001.SH,20120731,2234.32,2244.832,2100.252,2103.634,134908245700.0,1218154718736.0
000001.SH,20120629,2373.224,2388.087,2188.716,2225.431,127609355500.0,1213271061776.0
000001.SH,20120531,2421.082,2453.731,2309.072,2372.234,199123483400.0,1936082267539.0
000001.SH,20120427,2258.031,2415.749,2251.393,2396.316,163371539100.0,1468779269356.0
000001.SH,20120330,2418.788,2476.216,2242.345,2262.788,208945209600.0,2022506906300.0
000001.SH,20120229,2288.066,2478.375,2263.342,2428.487,195228381700.0,1771725442753.0
000001.SH,20120131,2211.995,2324.493,2132.626,2292.61,104558051900.0,905508240942.0
000001.SH,20111230,2392.485,2423.559,2134.017,2199.417,115451788500.0,1022673259694.0
000001.SH,20111130,2450.331,2536.779,2319.44,2333.414,164171964900.0,1623328172239.0
000001.SH,20111031,2363.078,2483.759,2307.146,2468.25,120177730800.0,1115670054532.0
000001.SH,20110930,2569.799,2584.804,2348.217,2359.22,119028500100.0,1210646311944.0
000001.SH,20110831,2697.575,2712.888,2437.681,2567.34,180197859500.0,1913013493621.0
000001.SH,20110729,2767.834,2826.959,2677.119,2701.729,197195744500.0,2301193503965.0
000001.SH,20110630,2737.057,2774.365,2610.99,2762.076,162695218300.0,1850370857824.0
000001.SH,20110531,2911.51,2933.46,2689.206,2743.472,178511442500.0,2038386907830.0
000001.SH,20110429,2932.481,3067.456,2871.01,2911.511,230986007900.0,2727674447786.0
000001.SH,20110331,2906.285,3012.044,2850.945,2928.111,294103337700.0,3697125729696.0
000001.SH,20110228,2795.071,2944.413,2760.175,2905.053,175649129400.0,2163621465625.0
000001.SH,20110131,2825.329,2868.005,2661.448,2790.694,172827304500.0,2024148567221.0
000001.SH,20101231,2810.543,2939.05,2721.479,2808.077,211966345300.0,2647072525901.0
000001.SH,20101130,2986.886,3186.72,2758.924,2820.181,353400190700.0,4578969962106.0
000001.SH,20101029,2681.253,3073.384,2677.994,2978.835,297014940300.0,3684209273668.0
000001.SH,20100930,2641.053,2704.933,2573.629,2655.658,204526103600.0,2349748521929.0
000001.SH,20100831,2635.807,2701.93,2564.838,2638.798,240948800600.0,2474386475722.0
000001.SH,20100730,2393.947,2656.408,2319.739,2637.503,190747404700.0,1749555650828.0
000001.SH,20100630,2577.763,2598.897,2382.358,2398.37,122570128600.0,1295725373920.0
000001.SH,20100531,2821.354,2862.555,2481.974,2592.147,166994833900.0,1864427523919.0
000001.SH,20100430,3111.935,3181.663,2820.949,2870.611,229744651400.0,2875408233730.0
000001.SH,20100331,3057.006,3132.576,2963.438,3109.105,214915938600.0,2527176706019.0
000001.SH,20100226,2981.374,3067.525,2890.021,3051.943,122554105100.0,1429058112891.0
000001.SH,20100129,3289.75,3306.751,2963.891,2989.292,235567903400.0,2907731979924.0
000001.SH,20091231,3191.058,3334.011,3039.858,3277.139,269095633800.0,3191408952146.0
000001.SH,20091130,2933.817,3361.386,2923.525,3195.301,342999093200.0,3908779186403.0
000001.SH,20091030,2840.131,3123.463,2834.618,2995.848,176734400300.0,1998263557003.0
000001.SH,20090930,2649.168,3068.028,2639.759,2779.426,258009277900.0,2830021253289.0
000001.SH,20090831,3429.693,3478.01,2662.997,2667.745,290961434500.0,3333276559830.0
000001.SH,20090731,2950.169,3454.019,2947.69,3412.062,416594302400.0,4727470472212.0
000001.SH,20090630,2668.4,2997.272,2668.4,2959.362,297823536800.0,3082505012076.0
000001.SH,20090527,2486.685,2688.112,2486.225,2632.93,247149454700.0,2418631671149.0
000001.SH,20090430,2380.979,2579.218,2331.877,2477.569,317754212400.0,3006594591013.0
000001.SH,20090331,2066.229,2392.769,2037.024,2373.213,287186206800.0,2502940650221.0
000001.SH,20090227,2008.134,2402.807,1987.129,2082.852,324394536400.0,2633630754680.0
000001.SH,20090123,1849.02,2018.51,1844.094,1990.657,135002750000.0,974669913640.0
000001.SH,20081231,1865.743,2100.806,1814.752,1820.805,227540566400.0,1562954263814.0
000001.SH,20081128,1713.763,2050.879,1678.957,1871.156,182702364400.0,1183817549017.0
000001.SH,20081031,2267.394,2267.394,1664.925,1728.786,101996557100.0,731598028670.0
000001.SH,20080926,2380.468,2380.468,1802.331,2293.784,106061227700.0,810081573924.0
000001.SH,20080829,2751.02,2830.764,2284.585,2397.369,91522163100.0,787334388182.0
000001.SH,20080731,2743.164,2952.039,2566.528,2775.717,144977432300.0,1529942534587.0
000001.SH,20080630,3426.195,3483.61,2693.404,2736.103,101834965300.0,1129295082260.0
000001.SH,20080530,3739.797,3786.024,3333.951,3433.354,142480818900.0,1977507212237.0
000001.SH,20080430,3461.085,3705.093,2990.788,3693.106,136806175600.0,1863262798314.0
000001.SH,20080331,4323.698,4472.151,3357.229,3472.713,129091626700.0,1941457970715.0
000001.SH,20080229,4388.254,4695.802,4123.305,4348.543,86116985100.0,1422793133449.0
000001.SH,20080131,5265.0,5522.778,4330.697,4383.393,177173032700.0,3075450297599.0
000001.SH,20071228,4838.564,5336.499,4798.014,5261.563,125150564000.0,1973215164810.0
000001.SH,20071130,5978.939,6005.131,4778.727,4871.778,100700589100.0,1738405403353.0
000001.SH,20071031,5683.31,6124.044,5462.013,5954.765,134066493400.0,2410240824468.0
000001.SH,20070928,5257.777,5560.417,5025.336,5552.301,191885545300.0,3046095333107.0
000001.SH,20070831,4488.774,5235.157,4284.871,5218.825,240792867800.0,3559760893743.0
000001.SH,20070731,3800.233,4476.626,3563.544,4471.032,169546531500.0,2158545788669.0
000001.SH,20070629,4120.628,4311.997,3404.146,3820.703,265021802200.0,3532884656137.0
000001.SH,20070531,3937.938,4335.963,3845.227,4109.654,291421034400.0,3928113429827.0
000001.SH,20070430,3196.587,3851.35,3196.587,3841.272,291092879200.0,3200557591921.0
000001.SH,20070330,2877.203,3273.727,2723.065,3183.983,243630441900.0,2108466575601.0
000001.SH,20070228,2744.814,3049.771,2541.525,2881.073,147265707700.0,1164620353243.0
000001.SH,20070131,2728.188,2994.282,2617.019,2786.335,231772809800.0,1719902497357.0
000001.SH,20061229,2106.295,2698.904,2084.267,2675.474,162657736800.0,1024335730724.0
000001.SH,20061130,1838.68,2102.057,1833.201,2099.289,119331448000.0,688378326329.0
000001.SH,20061031,1768.144,1842.73,1753.494,1837.993,80209931300.0,432545863472.0
000001.SH,20060929,1658.66,1755.691,1634.026,1752.424,78239199800.0,427197982549.0
000001.SH,20060831,1619.635,1667.53,1541.413,1658.638,63174390200.0,342440439912.0
000001.SH,20060731,1677.311,1757.472,1611.163,1612.733,85715207400.0,501505155371.0
000001.SH,20060630,1639.673,1695.58,1512.521,1672.211,98591190500.0,558450174983.0
000001.SH,20060531,1446.992,1678.599,1446.992,1641.3,115630621800.0,669010507788.0
000001.SH,20060428,1298.684,1444.714,1298.684,1440.223,82596950000.0,435875447689.0
000001.SH,20060331,1299.154,1313.125,1238.156,1298.295,50281289700.0,249790298820.0
000001.SH,20060228,1263.003,1304.613,1256.808,1299.03,46654996400.0,229474461450.0
000001.SH,20060125,1163.878,1262.087,1161.906,1258.046,45169508600.0,221808161769.0
000001.SH,20051230,1098.784,1173.064,1074.007,1161.057,29656623100.0,135785019061.0
000001.SH,20051130,1091.677,1122.879,1074.298,1099.261,31475160200.0,135202557203.0
000001.SH,20051031,1153.672,1165.666,1067.407,1092.817,26745026700.0,127957218509.0
000001.SH,20050930,1163.7,1223.565,1129.054,1155.614,54583932400.0,251233820348.0
000001.SH,20050831,1082.796,1201.755,1081.118,1162.798,63610296000.0,281300131136.0
000001.SH,20050729,1077.313,1097.634,1004.081,1083.033,30635280800.0,131656033164.0
000001.SH,20050630,1059.61,1146.417,998.228,1080.938,38621113200.0,183688392603.0
000001.SH,20050531,1160.62,1165.39,1043.276,1060.738,18113184700.0,87684325040.0
000001.SH,20050429,1180.373,1254.319,1135.733,1159.146,31892298600.0,175702723240.0
000001.SH,20050331,1305.249,1326.076,1162.031,1181.236,31117798100.0,181575963414.0
000001.SH,20050228,1189.501,1328.533,1187.26,1306.003,22335564000.0,124718924706.0
000001.SH,20050131,1260.782,1268.856,1189.211,1191.823,19709110000.0,106512562783.0
000001.SH,20041231,1340.916,1352.455,1264.152,1266.496,22127867200.0,126738170972.0
000001.SH,20041130,1317.658,1387.342,1290.988,1340.771,30005794500.0,183054069245.0
000001.SH,20041029,1395.669,1437.572,1289.873,1320.536,26148282700.0,172146750519.0
000001.SH,20040930,1340.75,1496.214,1259.432,1396.7,41552204300.0,243466619090.0
000001.SH,20040831,1381.877,1424.553,1310.024,1342.062,19077384300.0,114801915970.0
000001.SH,20040730,1398.198,1466.784,1366.503,1386.202,24083113500.0,155337135370.0
000001.SH,20040630,1555.562,1580.57,1376.218,1399.162,23725377900.0,169957988790.0
000001.SH,20040531,1600.626,1606.072,1508.645,1555.906,16105513600.0,115192083780.0
000001.SH,20040430,1744.709,1783.007,1572.23,1595.587,40425196800.0,325762376260.0
000001.SH,20040331,1676.222,1760.076,1634.71,1741.623,46834143800.0,356722553750.0
000001.SH,20040227,1630.654,1730.279,1585.958,1675.067,59581950000.0,452388305000.0
000001.SH,20040130,1492.724,1634.413,1491.694,1590.729,35695801000.0,251050325000.0
000001.SH,20031231,1398.706,1525.299,1398.706,1497.044,46792438600.0,297455054390.0
