ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688041.SH,20241111,133.34,142.8,130.94,138.88,136.83,2.049999999999983,1.5,577104.12,7782626.091
688041.SH,20241108,145.71,149.62,135.53,136.83,141.58,-4.75,-3.35,496635.5,7130097.685
688041.SH,20241107,131.84,143.82,130.84,141.58,133.03,8.550000000000011,6.43,381192.47,5273647.359
688041.SH,20241106,131.08,136.79,127.25,133.03,129.13,3.9000000000000057,3.02,354282.68,4684275.606
688041.SH,20241105,123.85,131.34,123.2,129.13,124.3,4.829999999999998,3.89,330889.7,4266204.172
688041.SH,20241104,121.84,124.69,121.35,124.3,123.73,0.5699999999999932,0.46,201417.49,2479943.695
688041.SH,20241101,126.85,129.54,123.66,123.73,128.27,-4.540000000000006,-3.54,265038.45,3347434.258
688041.SH,20241031,125.5,129.62,124.23,128.27,125.04,3.230000000000004,2.58,345717.86,4418374.094
688041.SH,20241030,124.65,128.41,123.86,125.04,126.38,-1.3399999999999892,-1.06,269485.98,3395250.062
688041.SH,20241029,123.18,132.01,121.45,126.38,122.42,3.9599999999999937,3.23,385735.19,4901726.637
688041.SH,20241028,120.86,124.06,120.34,122.42,121.85,0.5700000000000074,0.47,195496.56,2388163.763
688041.SH,20241025,125.73,125.81,120.51,121.85,123.65,-1.8000000000000114,-1.46,249737.41,3064962.783
688041.SH,20241024,122.37,126.2,121.86,123.65,124.87,-1.2199999999999989,-0.98,213963.57,2665221.788
688041.SH,20241023,126.85,129.35,124.51,124.87,127.96,-3.089999999999989,-2.41,301782.49,3840140.979
688041.SH,20241022,127.85,131.84,124.85,127.96,131.14,-3.1799999999999926,-2.42,371905.35,4780590.502
688041.SH,20241021,135.84,146.7,128.91,131.14,132.83,-1.6900000000000261,-1.27,674367.76,9145134.078
688041.SH,20241018,116.86,138.72,115.01,132.83,116.04,16.790000000000006,14.47,599977.61,7608761.534
688041.SH,20241017,121.79,121.85,116.04,116.04,113.43,2.6099999999999994,2.3,331505.93,3946806.167
688041.SH,20241016,114.86,117.85,112.86,113.43,116.86,-3.4299999999999926,-2.94,251678.29,2892499.503
688041.SH,20241015,123.85,124.15,116.85,116.86,124.05,-7.189999999999998,-5.8,357803.23,4309667.575
688041.SH,20241014,124.84,125.35,116.31,124.05,123.55,0.5,0.4,427109.57,5213762.423
688041.SH,20241011,124.87,130.63,121.07,123.55,130.87,-7.320000000000007,-5.59,388576.37,4864269.342
688041.SH,20241010,133.82,143.83,119.18,130.87,130.84,0.030000000000001137,0.02,579162.04,7622190.354
688041.SH,20241009,120.05,148.52,117.86,130.84,123.79,7.049999999999997,5.7,780965.14,10386989.328
688041.SH,20241008,123.79,123.79,117.86,123.79,103.16,20.63000000000001,20.0,472488.99,5827866.051
688041.SH,20240930,89.98,103.16,89.97,103.16,85.99,17.17,19.97,441844.21,4307718.812
