ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
SPX,20240726,5433.67,5459.1,5488.32,5430.7,5399.22,59.88,1.11,1.07,2629670.0
SPX,20240725,5428.7,5399.22,5491.59,5390.95,5427.13,-27.91,-0.51,1.85,3527915.0
SPX,20240724,5505.84,5427.13,5508.04,5419.98,5555.74,-128.61,-2.31,1.59,3019958.0
SPX,20240723,5565.3,5555.74,5585.34,5550.9,5564.41,-8.67,-0.16,0.62,2396798.0
SPX,20240722,5544.54,5564.41,5570.36,5529.04,5505.0,59.41,1.08,0.75,2510186.0
SPX,20240719,5543.37,5505.0,5557.5,5497.04,5544.59,-39.59,-0.71,1.09,2649395.0
SPX,20240718,5608.56,5544.59,5614.05,5522.81,5588.27,-43.68,-0.78,1.63,2925864.0
SPX,20240717,5610.07,5588.27,5622.49,5584.81,5667.2,-78.93,-1.39,0.66,3147942.0
SPX,20240716,5644.09,5667.2,5669.67,5639.02,5631.22,35.98,0.64,0.54,2531434.0
SPX,20240715,5638.16,5631.22,5666.94,5614.75,5615.35,15.87,0.28,0.93,2413953.0
SPX,20240712,5590.76,5615.35,5655.56,5590.44,5584.54,30.81,0.55,1.17,2518290.0
SPX,20240711,5635.21,5584.54,5642.45,5576.53,5633.91,-49.37,-0.88,1.17,2891783.0
SPX,20240710,5591.26,5633.91,5635.39,5586.44,5576.98,56.93,1.02,0.88,2293788.0
SPX,20240709,5584.24,5576.98,5590.75,5574.57,5572.85,4.13,0.07,0.29,2410304.0
SPX,20240708,5572.75,5572.85,5583.11,5562.51,5567.19,5.66,0.1,0.37,2367963.0
SPX,20240705,5537.91,5567.19,5570.33,5531.63,5537.02,30.17,0.54,0.7,2251077.0
SPX,20240703,5507.44,5537.02,5539.27,5507.42,5509.01,28.01,0.51,0.58,1549367.0
SPX,20240702,5461.84,5509.01,5509.69,5458.43,5475.09,33.92,0.62,0.94,2304048.0
SPX,20240701,5471.08,5475.09,5479.55,5446.53,5460.48,14.61,0.27,0.6,2405262.0
SPX,20240830,5612.74,5648.4,5651.37,5581.79,5591.96,56.44,1.01,1.24,2762260.0
SPX,20240829,5607.3,5591.96,5646.95,5583.71,5592.18,-0.22,0.0,1.13,2310418.0
SPX,20240828,5624.51,5592.18,5627.03,5560.95,5625.8,-33.62,-0.6,1.17,2132471.0
SPX,20240827,5602.89,5625.8,5631.18,5593.48,5616.84,8.96,0.16,0.67,1976076.0
