ts_code,symbol,name,area,industry,fullname,market,exchange,list_status,list_date
688448.SH,688448,磁谷科技,江苏,专用机械,南京磁谷科技股份有限公司,科创板,SSE,L,2022-09-21
688450.SH,688450,光格科技,江苏,软件服务,苏州光格科技股份有限公司,科创板,SSE,L,2023-07-24
688455.SH,688455,科捷智能,山东,机械基件,科捷智能科技股份有限公司,科创板,SSE,L,2022-09-15
688456.SH,688456,有研粉材,北京,铜,有研粉末新材料股份有限公司,科创板,SSE,L,2021-03-17
688458.SH,688458,美芯晟,北京,半导体,美芯晟科技(北京)股份有限公司,科创板,SSE,L,2023-05-22
688459.SH,688459,哈铁科技,黑龙江,运输设备,哈尔滨国铁科技集团股份有限公司,科创板,SSE,L,2022-10-12
688466.SH,688466,金科环境,北京,环境保护,金科环境股份有限公司,科创板,SSE,L,2020-05-08
688468.SH,688468,科美诊断,北京,医疗保健,科美诊断技术股份有限公司,科创板,SSE,L,2021-04-09
688469.SH,688469,芯联集成-U,浙江,半导体,芯联集成电路制造股份有限公司,科创板,SSE,L,2023-05-10
688472.SH,688472,阿特斯,江苏,电气设备,阿特斯阳光电力集团股份有限公司,科创板,SSE,L,2023-06-09
688475.SH,688475,萤石网络,浙江,IT设备,杭州萤石网络股份有限公司,科创板,SSE,L,2022-12-28
688478.SH,688478,晶升股份,江苏,半导体,南京晶升装备股份有限公司,科创板,SSE,L,2023-04-24
688479.SH,688479,友车科技,上海,软件服务,用友汽车信息科技(上海)股份有限公司,科创板,SSE,L,2023-05-11
688480.SH,688480,赛恩斯,湖南,环境保护,赛恩斯环保股份有限公司,科创板,SSE,L,2022-11-25
688484.SH,688484,南芯科技,上海,半导体,上海南芯半导体科技股份有限公司,科创板,SSE,L,2023-04-07
688485.SH,688485,九州一轨,北京,环境保护,北京九州一轨环境科技股份有限公司,科创板,SSE,L,2023-01-18
688486.SH,688486,龙迅股份,安徽,半导体,龙迅半导体(合肥)股份有限公司,科创板,SSE,L,2023-02-21
688488.SH,688488,艾迪药业,江苏,生物制药,江苏艾迪药业股份有限公司,科创板,SSE,L,2020-07-20
688489.SH,688489,三未信安,北京,IT设备,三未信安科技股份有限公司,科创板,SSE,L,2022-12-02
688496.SH,688496,清越科技,江苏,元器件,苏州清越光电科技股份有限公司,科创板,SSE,L,2022-12-28
688498.SH,688498,源杰科技,陕西,半导体,陕西源杰半导体科技股份有限公司,科创板,SSE,L,2022-12-21
688499.SH,688499,利元亨,广东,专用机械,广东利元亨智能装备股份有限公司,科创板,SSE,L,2021-07-01
688500.SH,688500,*ST慧辰,北京,互联网,北京慧辰资道资讯股份有限公司,科创板,SSE,L,2020-07-16
